owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
"3","0","0","6212","5825","117","112"
"3","0","0","6349","5888","62","113"
"3","0","0","6450","5944","37","114"
"3","0","0","6580","5993","127","115"
"3","0","0","6748","6046","54","116"
"3","0","0","6844","6089","110","117"
"3","0","0","6895","6121","15","118"
"3","0","0","6935","6139","21","119"
"3","0","0","6971","6158","20","120"
"3","0","0","7022","6218","65","121"
"3","0","0","7163","6255","114","122"
"3","0","0","7326","6300","570","123"
"3","0","0","7454","6371","19","124"
"3","0","0","7526","6393","29","125"
"3","0","0","7647","6425","331","126"
"3","0","0","7859","6502","805","127"
"3","0","0","7961","6529","809","128"
"4","0","0","6","0","0","1"
"4","0","0","15","4","5","2"
"4","0","0","50","10","9","3"
"4","0","0","91","22","11","4"
"4","0","0","128","35","7","5"
"4","0","0","177","42","8","6"
"4","0","0","229","48","12","7"
"4","0","0","262","60","3","8"
"4","0","0","286","70","13","9"
"4","0","0","328","85","1","10"
"4","0","0","358","87","3","11"
"4","0","0","375","88","0","12"
"5","0","0","24","2","1","1"
"5","0","0","55","6","4","2"
"5","0","0","70","9","1","3"
"5","0","0","82","15","9","4"
"5","0","0","147","22","3","5"
"5","0","0","233","94","110","6"
"5","0","0","291","195","84","7"
"5","0","0","358","315","130","8"
"5","0","0","413","417","36","9"
"5","0","0","473","503","139","10"
"5","0","0","540","638","82","11"
"5","0","0","587","693","43","12"
"5","0","0","628","747","50","13"
"5","0","0","689","800","54","14"
"5","0","0","735","828","12","15"
"5","0","0","760","844","22","16"
"5","0","0","790","876","48","17"
"5","0","0","833","957","67","18"
"5","0","0","890","1059","132","19"
"5","0","0","956","1205","139","20"
"5","0","0","1051","1379","209","21"
"5","0","0","1149","1541","135","22"
"5","0","0","1205","1676","87","23"
"5","0","0","1254","1784","101","24"
"5","0","0","1323","1881","109","25"
"5","0","0","1406","2009","130","26"
"5","0","0","1473","2101","51","27"
"5","0","0","1514","2204","125","28"
"5","0","0","1565","2382","172","29"
"5","0","0","1632","2536","134","30"
"5","0","0","1710","2677","176","31"
"5","0","0","1780","2884","214","32"
"5","0","0","1830","3112","130","33"
"5","0","0","1871","3251","118","34"
"5","0","0","1926","3392","142","35"
"5","0","0","2012","3574","158","36"
"5","0","0","2113","3772","195","37"
"5","0","0","2216","3963","222","38"
"5","0","0","2283","4107","45","39"
"5","0","0","2311","4179","68","40"
"5","0","0","2368","4296","147","41"
"5","0","0","2461","4507","272","42"
"5","0","0","2577","4742","179","43"
"5","0","0","2652","4853","59","44"
"5","0","0","2691","4978","124","45"
"5","0","0","2742","5105","103","46"
"5","0","0","2791","5228","108","47"
"5","0","0","2845","5361","132","48"
"5","0","0","2894","5472","74","49"
"5","0","0","2934","5581","92","50"
"5","0","0","2961","5685","85","51"
"5","0","0","2994","5747","36","52"
"5","0","0","3034","5874","96","53"
"5","0","0","3087","5974","121","54"
"5","0","0","3144","6074","65","55"
"5","0","0","3203","6135","91","56"
"5","0","0","3270","6220","60","57"
"5","0","0","3307","6291","43","58"
"5","0","0","3335","6376","105","59"
