owner,Gender,isGenderNeutral,totalCommit,revExp,review_count,tenure
5055,0,1,320,893,0,26
5055,0,1,321,894,0,46
5055,0,1,322,894,0,49
5055,0,1,324,894,0,59
5055,0,1,325,894,0,60
5056,0,1,9,43,68,1
5056,0,1,51,164,86,2
5056,0,1,137,256,124,3
5056,0,1,253,404,127,4
5056,0,1,332,527,86,5
5056,0,1,384,615,103,6
5056,0,1,458,722,74,7
5056,0,1,536,831,93,8
5056,0,1,621,930,129,9
5056,0,1,681,1017,52,10
5056,0,1,703,1140,39,12
5056,0,1,741,1221,94,13
5056,0,1,825,1319,102,14
5056,0,1,910,1404,76,15
5056,0,1,955,1458,21,16
5056,0,1,967,1477,0,17
5056,0,1,970,1497,0,24
5056,0,1,972,1499,0,27
5056,0,1,973,1499,0,28
5056,0,1,974,1506,0,33
5056,0,1,976,1512,2,36
5056,0,1,978,1516,2,38
5056,0,1,980,1518,0,39
5056,0,1,981,1519,0,40
5056,0,1,985,1527,0,42
5056,0,1,991,1543,9,43
5056,0,1,1025,1569,36,44
5056,0,1,1106,1605,36,45
5056,0,1,1176,1647,24,46
5056,0,1,1195,1664,0,47
5056,0,1,1201,1676,23,48
5056,0,1,1212,1722,5,49
5056,0,1,1220,1744,15,50
5056,0,1,1226,1752,8,51
5056,0,1,1239,1769,15,52
5056,0,1,1253,1785,5,53
5056,0,1,1279,1808,12,54
5056,0,1,1333,1821,14,55
5056,0,1,1371,1833,4,56
5056,0,1,1380,1843,3,57
5056,0,1,1389,1849,4,58
5056,0,1,1393,1852,0,59
5056,0,1,1399,1858,4,61
5056,0,1,1405,1864,0,63
5056,0,1,1406,1871,0,64
5056,0,1,1425,1874,2,65
5056,0,1,1448,1879,9,66
5056,0,1,1455,1894,2,68
5056,0,1,1471,1898,2,69
5056,0,1,1499,1900,7,70
5056,0,1,1532,1909,1,71
5056,0,1,1560,1916,6,72
5056,0,1,1578,1928,11,73
5056,0,1,1689,1952,48,74
5056,0,1,1843,1991,16,75
5056,0,1,1921,2013,13,76
5056,0,1,1994,2030,14,77
5056,0,1,2056,2042,2,79
5056,0,1,2094,2050,9,80
5056,0,1,2126,2056,5,81
5056,0,1,2142,2066,13,82
5056,0,1,2164,2075,8,83
5056,0,1,2181,2093,9,84
5056,0,1,2202,2106,9,85
5056,0,1,2247,2116,20,86
5056,0,1,2280,2135,2,87
5056,0,1,2289,2148,16,88
5056,0,1,2297,2155,1,89
5060,0,0,6,4,4,1
5060,0,0,19,8,4,2
5060,0,0,30,13,4,3
5060,0,0,37,15,1,4
5060,0,0,41,18,1,5
5060,0,0,44,20,0,6
5060,0,0,47,22,4,7
5060,0,0,50,25,1,8
5060,0,0,52,25,0,9
5060,0,0,54,25,0,10
5060,0,0,58,26,0,11
5060,0,0,62,27,1,12
5060,0,0,63,27,0,13
5060,0,0,66,32,1,15
5060,0,0,70,39,0,42
5060,0,0,72,39,0,43
5060,0,0,75,39,0,44
5060,0,0,78,42,0,45
5060,0,0,79,42,0,46
5060,0,0,81,42,0,48
5060,0,0,83,44,1,49
5060,0,0,85,45,2,50
5060,0,0,87,46,0,52
5060,0,0,89,50,2,53
5060,0,0,91,51,0,54
5060,0,0,92,54,0,59
5060,0,0,94,57,0,60
5060,0,0,95,59,0,61
5060,0,0,96,60,0,65
5065,0,0,38,77,155,1
5065,0,0,98,215,150,2
5065,0,0,138,387,148,3
5065,0,0,165,540,66,4
5065,0,0,194,666,154,5
5065,0,0,231,802,132,6
5065,0,0,271,942,105,7
5065,0,0,318,1042,137,8
5065,0,0,345,1156,46,9
5065,0,0,369,1359,144,10
5065,0,0,420,1503,123,11
5065,0,0,475,1623,109,12
5065,0,0,532,1778,150,13
5065,0,0,609,1926,171,14
5065,0,0,670,2074,172,15
5065,0,0,698,2286,191,16
5065,0,0,709,2418,0,24
5065,0,0,710,2444,0,28
5065,0,0,712,2537,6,37
5065,0,0,713,2623,0,41
5065,0,0,722,2724,95,42
5065,0,0,748,2928,266,43
5065,0,0,796,3221,236,44
5065,0,0,846,3409,200,45
5065,0,0,882,3610,140,46
5065,0,0,914,3825,223,47
5065,0,0,952,4102,248,48
5065,0,0,980,4351,191,49
5065,0,0,997,4564,159,50
5065,0,0,1030,4747,176,51
5065,0,0,1084,4999,284,52
5065,0,0,1147,5223,255,53
5065,0,0,1219,5542,303,54
5065,0,0,1277,5734,82,55
5065,0,0,1299,5924,100,58
5065,0,0,1318,6090,162,59
5065,0,0,1365,6276,239,60
5065,0,0,1437,6494,133,61
5065,0,0,1481,6579,53,62
